Player,Class,Season,Position,School,Games,FG,2P,3P,FT,TRB,AST,STL,BLK,PTS,Picked
Siyani Chambers\siyani-chambers-1,Ivy,5,,Harvard,23,38,40,36,79,58,120,32,0,257,0
Dimeco Childress\dimeco-childress-1,Southern,4,,East Tennessee State,27,43,48,37,78,81,42,20,9,321,0
Keith Cothran\keith-cothran-1,A-10,4,,Rhode Island,30,45,50,31,64,81,62,51,8,321,0
Dwayne Curtis\dwayne-curtis-2,SEC,5,,Total,21,58,58,NaN,65,163,21,21,7,257,0
Jarrid Frye\jarrid-frye-1,NEC,4,,Sacred Heart,28,45,50,24,63,133,69,39,10,321,0
Dan Gadzuric\dan-gadzuric-1,Pac-10,4,,UCLA,30,55,55,NaN,44,200,18,22,46,321,1
Davante Gardner\davante-gardner-1,Big East,4,,Marquette,31,55,57,0,79,141,25,14,11,321,0
Jeremy Granger\jeremy-granger-1,OVC,4,,Eastern Illinois,29,44,46,36,87,84,78,27,2,321,0
Jarvis Lang\jarvis-lang-1,Metro,3,,Charlotte,27,49,50,33,72,244,24,34,25,429,0
Jake Robinson\jake-robinson-1,Southern,4,,Western Carolina,31,41,48,38,80,91,30,15,5,321,0
John Salmons\john-salmons-1,Big East,4,,Miami (FL),31,47,52,31,80,171,108,48,20,321,1
Eric Taylor\eric-taylor-2,NEC,4,,Saint Francis (PA),26,52,52,0,70,241,24,19,20,321,0
Joey Ball\joey-ball-1,SWAC,4,,Alabama State,29,46,50,37,62,90,48,37,14,321,0
Joe Brown\joe-brown-1,Total,5,,Total,21,41,42,32,68,84,26,24,17,257,0
Michael Buchanan\michael-buchanan-1,A-Sun,4,,South Carolina Upstate,31,58,58,NaN,54,194,27,14,24,321,0
Michael Glover\michael-glover-1,MAAC,2,,Iona,35,62,62,0,63,335,33,30,36,643,0
Marcus Johnson\marcus-johnson-3,A-10,4,,Dayton,33,45,50,32,67,128,47,26,11,321,0
Jason Smith\jason-smith-6,SEC,4,,Mississippi,29,50,51,0,51,167,50,52,8,321,1
Thomas Coleman\thomas-coleman-1,MEAC,4,,North Carolina A&T,31,60,61,0,57,239,37,24,74,321,0
Carlos Daniel\carlos-daniel-1,Pac-10,4,,Washington State,28,51,51,0,68,193,30,18,34,321,0
Muntrelle Dobbins\muntrelle-dobbins-1,Sun Belt,4,,Arkansas-Little Rock,28,53,53,NaN,52,252,20,29,39,321,0
Frank Elegar\frank-elegar-1,CAA,4,,Drexel,26,52,52,NaN,65,169,19,22,34,321,0
R.J. Evans\rj-evans-1,Total,5,,Total,24,45,49,18,52,104,46,31,6,257,0
Riley Inge\riley-inge-1,NEC,3,,Mount St. Mary's,28,46,51,35,79,145,155,68,5,428,0
Arlando Johnson\arlando-johnson-1,OVC,3,,Eastern Kentucky,27,43,46,38,87,77,96,29,2,428,0
John Sivesind\john-sivesind-1,Total,5,,Total,23,46,50,43,85,68,47,20,2,257,0
Damon Stringer\damon-stringer-1,Total,5,,Total,16,41,44,37,82,44,70,29,2,257,0
Nic Wise\nic-wise-1,Pac-10,4,,Arizona,28,42,43,40,84,66,98,41,2,321,0
Arnaud William Adala Moto\arnaudwilliam-adalamoto-1,Total,5,,Total,26,43,45,22,69,156,25,17,4,256,0
Zach Auguste\zach-auguste-1,Total,4,,Notre Dame,32,56,57,NaN,61,205,20,17,21,321,0
Cameron Clark\cameron-clark-1,Big 12,4,,Oklahoma,32,46,47,40,74,143,30,26,10,321,0
Joe Griffin\joe-griffin-1,NEC,3,,Long Island University,18,53,54,36,67,143,31,26,9,428,0
Ryan McDade\ryan-mcdade-1,Big Sky,4,,Northern Arizona,29,51,52,22,47,210,20,16,16,321,0
A.J. Price\aj-price-1,Big East,3,,Connecticut,33,41,45,36,72,110,156,34,1,428,1
Zam Fredrick\zam-fredrick-1,Total,5,,Total,22,39,43,35,68,51,56,16,2,256,0
Shawn Lewis\shawn-lewis-1,Big West,4,,Cal Poly,29,39,43,33,72,129,47,28,9,320,0
Derrick Mercer\derrick-mercer-1,Patriot,4,,American,31,45,47,40,66,98,131,33,2,320,0
Spencer Nelson\spencer-nelson-1,Big West,7,,Utah State,17,61,64,30,71,114,43,12,8,183,0
Marc Polite\marc-polite-1,OVC,4,,Eastern Illinois,26,45,50,40,76,86,28,24,8,320,0
Marshawn Powell\marshawn-powell-1,SEC,4,,Arkansas,23,49,52,28,64,132,30,23,24,320,0
Nate Robinson\nate-robinson-1,Pac-10,3,,Washington,29,46,52,35,79,115,95,46,3,427,1
Patrick Sullivan\patrick-sullivan-1,Southland,4,,Southeastern Louisiana,30,56,56,0,65,200,46,20,69,320,0
Amir Abdur-Rahim\amir-abdur-rahim-1,Southland,3,,Southeastern Louisiana,27,36,41,32,75,90,57,40,3,427,0
Desmond Cambridge\desmond-cambridge-1,SWAC,3,,Alabama A&M,28,40,46,33,76,96,116,110,7,427,0
Mire Chatman\mire-chatman-1,Ind,2,,Texas-Rio Grande Valley,29,50,56,38,70,141,93,91,12,641,0
Moussa Diagne\moussa-diagne-1,Southern,4,,Furman,27,50,54,35,71,134,22,20,24,320,0
Frank Hassell\frank-hassell-1,CAA,4,,Old Dominion,34,53,53,NaN,67,227,31,25,37,320,0
D'Jamel Jackson\djamel-jackson-1,SWAC,4,,Mississippi Valley State,28,40,43,35,74,107,31,20,3,320,0
Donnie McGrath\donnie-mcgrath-1,Big East,4,,Providence,29,39,44,36,83,60,106,31,2,320,0
Rasheed Sparks\rasheed-sparks-1,MEAC,4,,Morgan State,24,45,51,31,53,138,49,45,23,320,0
Jared Sullinger\jared-sullinger-1,Big Ten,2,,Ohio State,37,53,54,35,73,358,44,40,29,641,1
Eric Chenowith\eric-chenowith-1,Big 12,4,,Kansas,34,45,46,0,72,233,31,17,60,320,1
Dion Dixon\dion-dixon-1,Big East,4,,Cincinnati,34,38,45,29,72,98,55,32,6,320,0
Joey Mundweiler\joey-mundweiler-1,NEC,5,,Wagner,24,39,43,37,68,41,38,14,2,256,0
Jason Smith\jason-smith-1,MWC,3,,Colorado State,29,55,56,25,75,227,57,15,49,427,1
Dwyane Wade\dwyane-wade-1,CUSA,2,,Marquette,32,49,51,33,74,210,127,75,39,640,1
Damon Arnette\damon-arnette-1,Total,5,,Total,17,45,48,34,67,117,31,33,4,256,0
Torin Francis\torin-francis-1,Big East,4,,Notre Dame,28,50,50,NaN,67,242,30,11,39,320,0
Jamon Gordon\jamon-gordon-1,Total,4,,Virginia Tech,29,43,48,26,63,146,128,72,20,320,0
Anthony Marshall\anthony-marshall-2,MWC,4,,Nevada-Las Vegas,34,46,53,26,68,138,128,45,15,320,0
Tony Mitchell\tony-mitchell-2,Southern,4,,College of Charleston,29,38,37,39,82,78,78,41,4,320,1
Daniel Ruffin\daniel-ruffin-1,MVC,4,,Bradley,30,40,44,35,81,86,161,51,4,320,0
Mike Davis\mike-davis-5,Big Ten,4,,Illinois,34,50,50,NaN,66,227,41,19,21,319,0
Ja'Dante' Frye\jadante-frye-1,Southland,4,,Nicholls State,30,47,51,34,76,130,31,22,9,319,0
Alex Jensen\alex-jensen-2,Total,6,,Utah,22,53,58,41,72,149,58,18,6,213,0
Kenyon Martin\kenyon-martin-1,CUSA,4,,Cincinnati,29,59,59,0,57,217,35,31,73,319,1
Cameron Payne\cameron-payne-1,OVC,2,,Murray State,34,43,49,36,78,126,197,62,18,639,1
John Simons\john-simons-1,MAC,4,,Central Michigan,31,44,58,39,77,194,27,25,9,319,0
Tige Darner\tige-darner-1,Southern,4,,Appalachian State,28,45,49,39,64,116,53,24,3,319,0
Blake Griffin\blake-griffin-1,Big 12,2,,Oklahoma,34,62,62,20,59,402,70,36,34,639,1
Marvin Jordan\marvin-jordan-1,MAAC,4,,Niagara,31,36,43,33,71,74,63,38,1,319,0
T.J. Wallace\tj-wallace-1,WCC,4,,Pacific,29,39,42,33,73,121,66,26,4,319,0
Uka Agbai\uka-agbai-1,Big East,5,,Boston College,26,48,48,0,71,131,27,24,29,255,0
Jimmy Butler\jimmy-butler-1,Big East,3,,Marquette,35,51,53,39,77,193,60,38,16,425,1
Anthony Davis\anthony-davis-6,SWAC,4,,Mississippi Valley State,27,35,39,28,58,91,85,43,2,319,1
Terrance Johnson\terrance-johnson-1,WCC,3,,Pepperdine,30,45,50,40,77,106,52,30,7,425,0
Keith Jones\keith-jones-2,NEC,4,,Robert Morris,27,44,45,25,64,160,25,29,3,319,0
Gabe Lewullis\gabe-lewullis-1,Ivy,4,,Princeton,27,46,58,38,70,119,61,36,6,319,0
Brandon Long\brandon-long-1,Southland,5,,Texas-Arlington,25,36,43,32,79,70,26,22,1,255,0
Joe Rahon\joe-rahon-1,Total,5,,Total,26,41,46,36,67,100,121,27,6,255,0
Justin Stommes\justin-stommes-1,OVC,4,,Eastern Kentucky,29,47,54,41,75,93,75,29,7,319,0
Danero Thomas\danero-thomas-1,OVC,4,,Murray State,31,42,47,33,70,127,48,43,18,319,0
Florentino Valencia\florentino-valencia-1,MAC,4,,Toledo,30,62,62,NaN,65,125,17,18,10,319,0
Travis Young\travis-young-1,MAC,4,,Marshall,26,43,49,34,74,87,87,43,6,319,0
Antonio Anderson\antonio-anderson-1,CUSA,4,,Memphis,37,42,50,31,65,150,134,54,12,319,0
Eugene Atkinson\eugene-atkinson-1,CAA,4,,James Madison,28,42,47,33,74,185,44,28,3,319,0
Jeff Black\jeff-black-1,Total,4,,Troy,26,45,49,34,70,160,33,34,24,319,0
Casey Cantey\casey-cantey-1,SWAC,4,,Alabama A&M,27,39,44,26,66,110,32,37,16,319,0
Kashif Hameed\kashif-hameed-1,MAAC,4,,Iona,29,49,50,25,67,146,29,18,52,319,0
Jermaine Johnson\jermaine-johnson-1,Southern,4,,College of Charleston,32,56,57,25,58,237,31,20,17,319,0
Julien Lewis\julien-lewis-1,Total,5,,Total,26,40,43,32,76,86,31,31,3,255,0
Cedrick Lindsay\cedrick-lindsay-1,A-10,4,,Richmond,30,43,48,32,76,67,88,32,2,319,0
Dustin Salisbery\dustin-salisbery-1,A-10,4,,Temple,29,39,46,31,63,117,43,34,6,319,0
Marcus Smallwood\marcus-smallwood-1,MAC,4,,Northern Illinois,28,54,54,NaN,55,211,27,21,36,319,0
Terrell Vinson\terrell-vinson-1,A-10,4,,Massachusetts,33,45,51,29,66,155,33,22,15,319,0
Quinton Brooks\quinton-brooks-1,Big Ten,4,,Michigan State,28,55,56,14,71,130,20,19,17,318,0
Rob Hodgson\rob-hodgson-1,Big East,4,,Rutgers,27,44,48,36,82,144,41,44,13,318,0
Standford Speech\standford-speech-1,SWAC,4,,Mississippi Valley State,30,38,40,34,70,127,68,38,4,318,0
Ryan Sypkens\ryan-sypkens-1,Big West,5,,UC-Davis,25,42,42,42,78,56,40,13,5,255,0
Damien Wilkins\damien-wilkins-1,Total,5,,Total,23,41,44,30,72,117,61,28,11,255,0
Lester Abram\lester-abram-1,Big Ten,5,,Michigan,24,47,51,37,83,95,35,22,6,254,0
Darien Brothers\darien-brothers-1,A-10,4,,Richmond,33,41,43,40,84,64,36,20,3,318,0
Sirvaliant Brown\sirvaliant-brown-1,A-10,2,,George Washington,30,35,39,27,77,92,59,45,5,637,0
Aaron Cosby\aaron-cosby-1,Total,5,,Total,23,37,37,37,77,67,47,11,1,254,0
Wes Eikmeier\wes-eikmeier-2,Total,5,,Total,24,39,40,35,88,36,44,13,0,254,0
Zach Graham\zach-graham-1,SEC,4,,Mississippi,33,42,45,37,78,113,44,22,8,318,0
Prosper Karangwa\prosper-karangwa-1,MAAC,4,,Siena,32,42,47,33,79,111,85,33,13,318,0
Thomas Kilgore\thomas-kilgore-1,Total,5,,Total,17,43,46,32,76,52,44,26,1,254,0
Kyle Landry\kyle-landry-1,Big Sky,4,,Northern Arizona,28,56,56,NaN,72,170,17,20,11,318,0
James Reaves\james-reaves-1,MAAC,4,,Niagara,29,45,46,29,67,255,45,31,35,318,0
Tony Rutland\tony-rutland-1,ACC,4,,Wake Forest,30,38,39,38,78,73,89,32,2,318,0
Chevon Troutman\chevon-troutman-1,Big East,4,,Pittsburgh,31,62,64,27,63,177,38,33,21,318,0
Alex Acker\alex-acker-1,WCC,3,,Pepperdine,29,46,47,41,83,165,83,44,12,424,1
Travis Cantrell\travis-cantrell-1,Southern,4,,Citadel,28,35,36,35,85,66,46,21,3,318,0
Brandon Costner\brandon-costner-1,ACC,4,,North Carolina State,25,44,51,34,75,149,49,15,19,318,0
Jerron Granberry\jerron-granberry-1,Total,5,,Total,26,37,41,35,83,78,33,20,6,254,0
Tyrone Hamilton\tyrone-hamilton-1,Total,4,,Centenary (LA),21,38,38,38,77,58,69,21,1,318,0
Sebastian Saiz\sebastian-saiz-1,SEC,4,,Mississippi,32,50,52,25,69,252,19,26,31,318,0
Jackson Stevenett\jackson-stevenett-1,Total,4,,Southern Utah,26,48,51,30,80,125,36,14,16,318,0
Jermaine Thomas\jermaine-thomas-1,A-10,4,,La Salle,28,40,45,36,78,92,90,39,1,318,0
Justin Graham\justin-graham-1,WAC,4,,San Jose State,29,45,47,35,66,119,127,52,10,318,0
Malcom Johnson\malcom-johnson-1,WAC,2,,Texas Christian,34,45,52,35,72,172,67,68,10,636,0
Egor Koulechov\egor-koulechov-1,Total,4,,Total,23,44,49,39,82,153,33,16,5,318,0
Sonny Troutman\sonny-troutman-1,MAC,4,,Ohio,29,41,50,26,77,103,96,64,4,318,0
Angelo Caloiaro\angelo-caloiaro-1,WCC,4,,San Francisco,32,45,54,37,77,169,58,30,6,317,0
Andrew Chrabascz\andrew-chrabascz-1,Big East,4,,Butler,32,47,51,36,73,123,63,24,11,317,0
Jared Cunningham\jared-cunningham-2,Total,3,,Oregon State,32,45,50,35,76,98,64,73,8,423,1
Sam Dower\sam-dower-1,WCC,4,,Gonzaga,34,56,58,33,79,144,19,15,18,317,0
Brandon Fields\brandon-fields-1,WAC,4,,Nevada,33,42,49,32,70,77,58,19,6,317,0
Jason McCutcheon\jason-mccutcheon-1,Total,5,,Total,21,45,47,25,72,122,38,29,18,254,0
Frantz Pierre-Louis\frantz-pierre-louis-1,NEC,5,,Wagner,19,53,53,NaN,62,157,10,22,37,254,0
Patrick Simpson\patrick-simpson-1,WAC,4,,Southern Methodist,28,50,53,28,68,189,30,17,37,317,0
Levi Levine\levi-levine-1,AEC,4,,Albany (NY),28,41,44,35,75,152,62,34,12,317,0
Marquise Moore\marquise-moore-1,A-10,4,,George Mason,29,45,46,24,72,173,90,22,19,317,0
Laurent Rivard\laurent-rivard-1,Ivy,4,,Harvard,30,43,51,41,83,92,23,24,3,317,0
Robert Sacre\robert-sacre-1,WCC,5,,Gonzaga,27,50,50,NaN,74,135,18,14,37,254,1
Brandon Taylor\brandon-taylor-1,Pac-12,4,,Utah,33,42,46,39,81,72,107,41,1,317,0
James White\james-white-1,Total,5,,Total,24,44,50,34,77,104,63,23,15,254,1
Jordan Callahan\jordan-callahan-1,CUSA,4,,Tulane,30,40,43,37,72,72,76,34,2,317,0
Ryan Hoover\ryan-hoover-2,Total,4,,Notre Dame,27,39,44,36,84,63,66,36,1,317,0
Antonio Hudson\antonio-hudson-1,SEC,4,,Louisiana State,31,42,47,36,65,102,56,35,9,317,0
Greg Logins\greg-logins-1,MAAC,4,,Canisius,30,45,49,38,76,189,17,13,5,317,0
Dawan Robinson\dawan-robinson-1,A-10,4,,Rhode Island,23,42,46,32,71,78,72,37,3,317,0
Demond Watt\demond-watt-1,Southland,4,,Texas A&M-Corpus Christi,30,57,58,20,66,212,33,25,34,317,0
Jermareo Davidson\jermareo-davidson-1,SEC,4,,Alabama,31,46,47,25,72,229,31,17,55,317,1
Chris Duhon\chris-duhon-1,ACC,4,,Duke,36,42,51,32,69,122,204,75,4,317,1
Deng Gai\deng-gai-1,MAAC,4,,Fairfield,25,47,51,33,73,174,23,14,110,317,0
Jalen Hayes\jalen-hayes-1,Horizon,4,,Oakland,26,53,53,38,71,184,29,26,13,317,0
Paris Lee\paris-lee-1,MVC,4,,Illinois State,33,40,43,36,76,90,123,62,2,317,0
Royce O'Neale\royce-oneale-1,Total,4,,Total,33,47,53,40,75,189,100,40,11,317,0
Dusty Rychart\dusty-rychart-1,Big Ten,4,,Minnesota,27,52,54,30,77,183,40,22,5,317,0
Kahiem Seawright\kahiem-seawright-1,A-10,4,,Rhode Island,31,49,49,0,67,217,60,23,27,317,0
Mike Talley\mike-talley-1,Total,5,,Total,27,38,43,31,68,46,82,26,0,253,0
Denham Brown\denham-brown-1,Big East,4,,Connecticut,33,43,47,35,77,132,43,23,6,316,1
Vince Carter\vince-carter-1,ACC,3,,North Carolina,34,55,63,37,70,155,65,38,26,422,1
Brandon Crump\brandon-crump-1,SEC,4,,Tennessee,28,57,57,36,66,163,29,19,26,316,0
Jeremy Green\jeremy-green-1,Pac-10,3,,Stanford,32,41,42,41,81,99,26,21,3,422,0
David Hanson\david-hanson-1,Big West,4,,Cal Poly,30,41,48,32,64,157,41,23,6,316,0
Joey Lynch-Flohr\joey-lynch-flohr-1,Big South,4,,Radford,31,51,50,0,71,166,32,16,7,316,0
Eugene Myatt\eugene-myatt-1,MEAC,4,,Howard,24,42,44,31,76,84,32,17,4,316,0
Brian Williams\brian-williams-8,OVC,4,,Jacksonville State,30,39,44,32,61,73,92,34,6,316,0
Kent Culuko\kent-culuko-1,CAA,3,,James Madison,29,42,44,41,85,94,36,16,0,422,0
Bryce Dejean-Jones\bryce-jones-1,Total,5,,Total,23,43,48,34,68,94,54,22,5,253,0
David Kravish\david-kravish-1,Pac-12,4,,University of California,33,52,53,20,72,229,31,17,54,316,0
Will McClurkin\will-mcclurkin-1,Total,5,,Total,21,48,48,36,68,142,18,12,16,253,0
Mike Bond\mike-bond-1,NAC,3,,Hartford,27,45,45,40,69,219,24,31,11,421,0
Dan Cross\dan-cross-1,SEC,3,,Florida,31,45,47,41,81,105,100,52,4,421,0
Chris Hernandez\chris-hernandez-1,Pac-10,5,,Stanford,24,43,42,43,86,45,80,27,0,253,0
Blake Hoffarber\blake-hoffarber-1,Big Ten,4,,Minnesota,33,44,51,41,80,105,66,23,1,316,0
Jarrett Jack\jarrett-jack-1,ACC,3,,Georgia Tech,33,48,53,36,80,150,181,61,3,421,1
Scoop Jardine\scoop-jardine-1,Big East,5,,Syracuse,28,46,49,36,68,56,123,36,2,253,0
Zeke Marshall\zeke-marshall-1,MAC,4,,Akron,34,55,55,0,62,180,24,14,92,316,0
Obie Nwadike\obie-nwadike-1,NEC,4,,Central Connecticut State,27,51,52,NaN,68,245,42,30,3,316,0
David Schroeder\david-schroeder-1,Big Sky,5,,Idaho State,17,45,47,43,73,79,26,20,4,253,0
Chace Stanback\chace-stanback-1,Total,5,,Total,25,45,51,38,80,112,29,26,12,253,0
Peca Arsic\peca-arsic-1,Total,5,,Total,20,44,48,40,78,95,39,16,7,252,0
Ledaryl Billingsley\ledaryl-billingsley-1,CUSA,4,,Tulane,28,49,49,30,55,180,20,32,7,316,0
Demetrius Nelson\demetrius-nelson-1,Southern,5,,Citadel,25,53,53,NaN,69,125,11,11,11,252,0
Robert Olson\robert-olson-1,MAAC,4,,Loyola (MD),31,41,45,37,76,107,58,29,5,316,0
Ishua Benjamin\ishua-benjamin-1,ACC,4,,North Carolina State,29,39,43,32,74,86,108,48,4,315,0
Doug Brandt\doug-brandt-1,Total,4,,Baylor,27,44,46,30,71,181,29,21,12,315,0
Anthony Goods\anthony-goods-1,Pac-10,4,,Stanford,28,38,41,36,77,74,46,15,0,315,0
Bobby Simmons\bobby-simmons-1,CUSA,3,,DePaul,31,43,49,33,78,233,69,41,5,421,1
Terry Williams\terry-williams-1,Southern,4,,Georgia Southern,29,38,46,35,79,65,118,55,10,315,0
Dion Wright\dion-wright--1,A-10,4,,St. Bonaventure,27,50,52,28,76,170,25,20,13,315,0
Xavier Cooks\xavier-cooks-1,Big South,3,,Winthrop,32,51,56,35,70,240,66,26,52,420,0
Antonio Granger\antonio-granger-1,Big East,4,,Boston College,28,44,49,38,72,115,24,17,8,315,0
Gerald Henderson\gerald-henderson-2,ACC,3,,Duke,34,46,49,33,70,145,60,33,23,420,1
Aaron McKie\aaron-mckie-1,A-10,2,,Temple,32,42,44,38,80,209,103,67,8,631,1
Taylor Rochestie\taylor-rochestie-1,Total,5,,Total,26,43,45,38,82,74,97,22,0,252,0
Maurice Taylor\maurice-taylor-1,Big Ten,3,,Michigan,32,50,50,20,64,199,39,20,30,420,1
Tyrone Walker\tyrone-walker-1,Big South,4,,Winthrop,28,45,50,37,74,175,46,30,26,315,0
Jason Wills\jason-wills-1,MEAC,4,,North Carolina A&T,26,50,50,25,61,169,54,24,8,315,0
C.J. Black\cj-black-1,SEC,4,,Tennessee,29,50,52,36,75,175,18,25,53,315,0
Jahii Carson\jahii-carson-1,Pac-12,2,,Arizona State,34,45,48,35,73,130,165,32,2,630,0
Ed Cota\ed-cota-1,ACC,4,,North Carolina,34,45,48,37,74,129,257,48,6,315,0
Danny Gathings\danny-gathings-1,Big South,3,,High Point,27,53,57,30,62,199,27,45,12,420,0
Louis Montes\louis-montes-1,NEC,4,,Sacred Heart,30,45,50,32,72,154,26,18,14,315,0
Aleem Muhammad\aleem-muhammad-1,A-Sun,5,,Mercer,23,45,47,39,69,83,40,21,5,252,0
Jeff Parris\jeff-parris-1,Big Sky,4,,Cal State Northridge,29,61,64,29,60,131,39,29,10,315,0
Frank Robinson\frank-robinson-1,Total,5,,Total,22,45,53,36,69,115,40,27,8,252,0
Clint Sargent\clint-sargent-1,Summit,3,,South Dakota State,30,41,43,39,79,91,43,15,2,420,0
Ahmad Smith\ahmad-smith-2,A-10,4,,St. Bonaventure,27,42,46,29,63,136,70,22,5,315,0
Scott Thomas\scott-thomas-1,MAC,4,,Bowling Green State,31,42,50,32,65,170,79,49,10,315,0
Marcus Walton\marcus-walton-1,SWAC,3,,Alcorn State,24,42,46,36,74,105,119,71,3,420,0
Victor Williams\victor-williams-2,Big 12,3,,Oklahoma State,31,40,44,33,75,77,112,52,0,420,0
Davis Baker\davis-baker-1,Total,6,,Total,17,45,48,36,84,63,17,11,2,210,0
Zahir Carrington\zahir-carrington-1,Patriot,4,,Lehigh,29,48,48,NaN,64,167,26,23,27,315,0
Tony Danridge\tony-danridge-1,MWC,5,,New Mexico,25,50,51,27,71,65,35,17,4,252,0
Raymond Felton\raymond-felton-1,ACC,3,,North Carolina,33,42,47,38,74,139,232,64,9,420,1
Eric Garcia\eric-garcia-2,Southern,4,,Wofford,32,43,45,43,81,73,134,20,0,315,0
Jamal Smith\jamal-smith-1,NEC,5,,Wagner,23,44,48,30,62,119,33,26,5,252,0
Cliff Strong\cliff-strong-1,Total,5,,Total,20,49,53,32,66,141,21,22,8,252,0
O.D. Anosike\od-anosike-1,MAAC,4,,Siena,32,51,51,NaN,52,269,25,25,23,314,0
Brian Barber\brian-barber-1,AEC,4,,Towson,26,51,52,0,73,125,13,19,8,314,0
Elgin Cook\elgin-cook-1,Pac-12,3,,Oregon,36,50,53,28,73,169,54,37,11,419,0
Carl English\carl-english-1,WAC,4,,Hawaii,23,45,50,39,69,105,57,18,1,314,0
Brian Greene\brian-greene-1,MWC,4,,Colorado State,30,51,51,29,76,167,59,32,9,314,0
DeAndre Haynes\deandre-haynes-1,MAC,4,,Kent State,32,41,45,37,70,109,156,57,2,314,0
Avry Holmes\avry-holmes-1,Total,5,,Total,25,41,42,41,78,57,50,23,0,251,0
Damien Kinloch\damien-kinloch-1,Total,5,,Total,25,55,55,NaN,66,154,25,20,21,251,0
Maarty Leunen\maarty-leunen-1,Pac-10,4,,Oregon,31,50,57,39,78,225,57,30,12,314,1
Jamar Samuels\jamar-samuels-1,Big 12,4,,Kansas State,33,47,51,29,61,179,42,27,23,314,0
Drew Spradlin\drew-spradlin-1,Southern,4,,Elon,30,41,44,38,63,109,41,18,4,314,0
Aaron Urbanus\aaron-urbanus-1,GWC,4,,Texas-Rio Grande Valley,31,39,41,38,74,73,76,26,1,314,0
Jaron Brown\jaron-brown-2,Big East,4,,Pittsburgh,34,50,55,24,64,162,73,48,14,314,0
Scott Cutley\scott-cutley-1,Total,5,,Total,24,49,53,29,61,148,55,27,4,251,0
Rob Ferguson\rob-ferguson-1,A-10,4,,Saint Joseph's,33,49,53,41,86,140,39,21,27,314,0
Trey Guidry\trey-guidry-1,Total,5,,Total,22,40,39,40,82,50,29,13,1,251,0
Allen Ledbetter\allen-ledbetter-1,Total,4,,Maine,28,51,52,NaN,60,254,28,32,17,314,0
Kestutis Marciulionis\kestutis-marciulionis-1,AEC,4,,Delaware,30,40,49,34,79,53,58,32,2,314,0
Adam Weary\adam-weary-1,Big South,4,,High Point,29,48,52,32,75,82,74,28,6,314,0
Ricky Woods\ricky-woods-2,Total,4,,Total,22,53,54,0,62,158,27,35,25,314,0
Jesse Berry\jesse-berry-1,MAC,4,,Ball State,29,38,45,34,73,48,45,12,2,314,0
Antonio Campbell\antonio-campbell-1,MAC,4,,Ohio,28,53,61,34,66,200,16,13,29,314,0
Erik Etherly\erik-etherly-1,Total,5,,Total,21,49,49,25,67,135,28,24,22,251,0
Stacy Harris\stacy-harris-1,A-Sun,4,,College of Charleston,29,45,53,34,71,94,47,38,5,314,0
Daryll Hill\daryll-hill-1,Big East,4,,St. John's (NY),21,40,42,32,74,64,76,33,4,314,0
Que Johnson\que-johnson-1,Total,4,,Total,31,39,43,36,76,93,35,16,5,314,0
Anthony Livingston\anthony-livingston-1,Total,3,,Total,30,44,48,33,76,232,24,13,19,419,0
Dan Earl\dan-earl-1,Big Ten,6,,Penn State,19,44,50,40,73,50,95,27,0,209,0
Carl Elliott\carl-elliott-1,A-10,4,,George Washington,30,43,45,36,67,126,134,70,4,314,0
Demetrius Jackson\demetrius-jackson-2,ACC,3,,Notre Dame,34,47,53,38,78,107,111,38,7,418,1
Tyrone Kent\tyrone-kent-1,MAC,4,,Toledo,29,39,46,31,72,103,52,37,11,314,0
Lasan Kromah\lasan-kromah-2,Total,5,,Total,26,44,50,32,62,96,48,38,10,251,0
Ike Nwamu\ike-nwamu-1,Total,5,,Total,26,42,47,37,72,68,30,16,6,251,0
Aaron Thomas\aaron-thomas-2,NEC,4,,Robert Morris,28,45,50,41,81,146,41,21,8,314,0
Jonathan Wallace\jonathan-wallace-1,Big East,4,,Georgetown,34,46,51,43,81,79,94,32,1,314,0
Flenard Whitfield\flenard-whitfield-1,MAC,4,,Western Michigan,31,49,51,0,62,170,19,14,14,314,0
Jermaine Beal\jermaine-beal-1,SEC,4,,Vanderbilt,33,41,46,36,79,80,105,32,3,313,0
Ben Berlowski\ben-berlowski-1,Total,4,,Green Bay,30,45,45,44,82,103,47,24,3,313,0
Rasheed Brokenborough\rasheed-brokenborough-1,A-10,3,,Temple,32,37,43,31,75,118,76,49,5,418,0
Trevor Gaines\trevor-gaines-1,AEC,4,,Vermont,27,53,54,31,59,220,36,18,13,313,0
Ricardo Glenn\ricardo-glenn-1,A-Sun,4,,South Carolina Upstate,31,56,56,0,62,232,51,20,8,313,0
Brandon Hazzard\brandon-hazzard-1,Sun Belt,4,,Troy,25,43,45,41,75,46,32,20,0,313,0
Julian Simmons\julian-simmons-1,Patriot,4,,Army,29,36,36,37,78,60,14,21,1,313,0
Dyricus Simms-Edwards\dyricus-simms-edwards-1,MVC,4,,Bradley,30,39,44,30,72,103,84,45,6,313,0
Brandon Worthy\brandon-worthy-1,WCC,5,,Loyola Marymount,18,44,46,38,81,67,64,31,3,251,0
Brandon Britt\brandon-britt-1,CAA,4,,William & Mary,28,43,48,35,70,59,49,21,1,313,0
Reggie Jackson\reggie-jackson-1,ACC,3,,Boston College,33,46,53,35,76,144,116,27,15,418,1
Reggie Johnson\reggie-johnson-3,Total,4,,Total,24,37,42,29,68,72,56,34,3,313,0
